"","o","case","PRODUCT","TQ","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_AV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMAV","DENS_AVRC","DENS_PFR","UCC","Q","var_pcb","pcb","PCB","pcf","fci"
"1",1,8,1,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,17597,6.225,14.7492733593487,259540.128599459,14.6119400260154,1.00939870633802
"2",1,8,2,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,17597,5.916,14.4402733593487,254102.714987052,14.5776066926821,0.990579157729487
