"","o","case","PRODUCT","TQ","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_AV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMAV","DENS_AVRC","DENS_PFR","UCC","Q","var_pcb","pcb","PCB","pcf","fci"
"1",1,8,1,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,46385,6.225,9.4588048218596,438746.554426574,9.32147148852627,1.01473301007275
"2",1,8,2,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,46385,5.916,9.1498048218596,424413.592929737,9.28713815519293,0.985212523918734
