"","o","case","PRODUCT","TQ","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_AV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMAV","DENS_AVRC","DENS_PFR","UCC","Q","var_pcb","pcb","PCB","pcf","fci"
"1",1,8,1,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,47597,6.225,9.37647185096502,446290.128599459,9.23913851763169,1.01486430072146
"2",1,8,2,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,47597,5.916,9.06747185096502,431582.714987052,9.20480518429835,0.985080256389608
