"","o","case","PRODUCT","TQ","NUMB_C","NUMB_CN","NUMB_FR","NUMB_CM","NUMB_AV","NUMB_RC","DENS_CCN","DENS_CNFR","DENS_FRCM","DENS_CMAV","DENS_AVRC","DENS_PFR","UCC","Q","var_pcb","pcb","PCB","pcf","fci"
"1",1,8,1,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,25282,6.225,12.158120018325,307379.253599459,12.0207866849917,1.01142465438679
"2",1,8,2,100,2,4,8,6,9,11,0.75,0.375,0.291666666666667,0.259259259259259,0.191919191919192,0.875,0,25282,5.916,11.849120018325,299567.174987052,11.9864533516584,0.988542621465729
